,Cluster number,Side,Lat,Lat_error,Long,Long_error,Depth,Depth_error,Assumed
0,1,Nearside,-15.7,2.4,-36.6,4.6,867,29,N
1,3,Nearside,-2.9,1.7,-50.3,6.3,946,22,N
2,5,Nearside,1.1,94.2,-44.7,16.4,933,109,Y
3,6,Nearside,43.5,2.9,55.5,9.5,844,33,N
4,7,Nearside,25.0,1.7,53.2,8.0,893,27,N
5,8,Nearside,-23.7,4.8,-35.5,6.5,1086,37,N
6,9,Nearside,-6.0,2.4,-19.7,3.6,1037,68,N
7,10,Nearside,-35.7,4.9,-40.3,6.7,988,21,N
8,11,Nearside,9.2,1.5,17.5,4.9,1187,87,N
9,13,Nearside,-19.1,3.0,-41.7,5.6,973,23,N
10,14,Nearside,-29.6,9.3,-44.4,7.8,933,109,Y
11,15,Nearside,0.7,0.7,-3.9,0.6,747,62,N
12,16,Nearside,7.5,0.8,6.3,1.5,1019,78,N
13,17,Nearside,25.5,2.3,-21.9,2.8,807,40,N
14,18,Nearside,23.3,2.4,32.7,5.5,925,44,N
15,19,Nearside,27.7,3.0,34.4,6.4,974,42,N
16,20,Nearside,23.7,2.5,-31.4,5.3,945,50,N
17,21,Nearside,-18.2,3.0,-50.8,7.2,1037,20,N
18,22,Nearside,21.6,1.8,43.6,5.9,788,29,N
19,25,Nearside,35.1,2.2,59.8,9.9,924,28,N
20,26,Nearside,14.3,2.6,5.2,2.0,1122,90,N
21,27,Nearside,23.0,3.3,20.4,4.7,1085,64,N
22,28,Nearside,8.1,1.3,10.3,2.6,933,109,Y
23,29,Farside,53.4,15.2,60.9,66.1,1077,32,N
24,30,Nearside,12.7,1.2,-35.7,4.8,931,39,N
25,32,Nearside,25.0,2.7,43.6,7.3,944,38,N
26,33,Farside,5.1,2.6,115.8,9.3,877,112,N
27,34,Nearside,6.8,0.7,-7.2,1.3,971,77,N
28,35,Nearside,5.0,1.5,36.1,11.4,933,109,Y
29,36,Nearside,27.5,4.7,-4.6,1.9,1058,74,N
30,37,Nearside,22.5,5.5,29.7,10.7,1343,82,N
31,38,Nearside,7.8,1.3,43.3,7.0,1031,37,N
32,39,Nearside,-21.9,21.1,-12.7,5.1,933,109,Y
33,40,Nearside,-1.3,1.2,-10.3,1.5,867,66,N
34,41,Nearside,13.8,1.3,-29.2,3.9,847,45,N
35,42,Nearside,22.2,1.5,-50.7,6.8,907,28,N
36,44,Nearside,50.2,2.9,60.2,12.0,908,37,N
37,49,Nearside,8.6,4.6,-50.8,5.6,952,93,N
38,50,Nearside,8.7,1.0,-53.4,5.0,828,27,N
39,51,Nearside,12.3,1.4,37.7,8.0,1125,56,N
40,53,Nearside,-10.1,39.9,-39.2,8.1,933,109,Y
41,54,Nearside,13.1,30.1,-52.4,10.8,933,109,Y
42,56,Nearside,1.1,1.6,-20.6,5.0,933,109,Y
43,59,Nearside,-9.5,17.6,-53.6,5.9,750,109,Y
44,60,Nearside,24.1,9.5,-52.2,8.0,750,109,Y
45,64,Nearside,30.1,2.9,53.2,9.8,975,24,N
46,65,Nearside,46.6,3.9,42.3,8.2,861,25,N
47,70,Nearside,34.8,2.1,63.0,11.3,1014,26,N
48,71,Nearside,-20.9,22.1,-16.8,6.3,933,109,Y
49,73,Nearside,21.1,1.7,-44.0,5.6,908,28,N
50,74,Nearside,34.7,2.5,60.1,10.6,1043,30,N
51,77,Nearside,24.6,8.4,-23.4,11.1,1419,96,N
52,82,Nearside,27.5,9.9,34.3,20.6,919,160,N
53,86,Nearside,-40.9,7.5,-40.6,8.4,933,109,Y
54,96,Nearside,6.2,0.6,11.9,1.8,794,64,N
55,97,Nearside,-8.4,2.9,17.9,3.8,989,71,N
56,99,Nearside,10.0,1.1,22.8,4.2,989,69,N
57,100,Nearside,-2.0,4.2,32.2,17.1,920,184,N
58,107,Nearside,41.0,2.5,53.4,7.7,893,34,N
59,114,Nearside,15.5,1.2,55.6,7.5,755,44,N
60,201,Nearside,-40.6,14.8,-3.8,1.6,862,88,N
61,202,Nearside,1.0,1.7,2.8,1.5,919,170,N
62,203,Nearside,0.5,2.0,47.3,11.8,1243,50,N
63,204,Nearside,-28.4,8.9,-66.6,9.2,933,109,Y
64,209,Nearside,-26.5,12.0,-35.1,7.2,933,109,Y
65,212,Nearside,12.8,1.4,-36.2,5.6,963,45,N
66,216,Nearside,-13.7,3.9,-21.6,4.5,764,81,N
67,218,Farside,-2.4,4.4,-73.3,32.3,878,107,N
68,223,Nearside,36.1,12.2,-2.4,1.3,863,145,N
69,224,Nearside,-50.7,7.9,-21.4,5.5,933,109,Y
70,230,Nearside,6.3,0.9,22.1,9.7,855,188,N
71,231,Nearside,34.3,12.0,45.0,29.9,933,109,Y
72,233,Nearside,24.1,5.1,26.1,8.2,933,109,Y
73,234,Nearside,36.8,4.5,21.2,4.5,1006,41,N
74,236,Nearside,-7.8,3.5,5.4,1.7,933,109,Y
75,237,Nearside,12.2,1.9,3.5,1.5,933,109,Y
76,238,Nearside,26.3,8.7,20.0,9.8,831,169,N
77,239,Nearside,26.7,5.6,5.2,2.1,933,109,Y
78,241,Farside,-69.4,4.4,75.4,24.6,933,109,Y
79,242,Nearside,58.6,4.6,54.2,15.5,1025,31,N
80,243,Nearside,7.0,1.3,8.3,4.1,1019,191,N
81,244,Farside,34.6,20.9,56.1,81.0,933,109,Y
82,245,Farside,8.6,4.9,73.0,69.5,933,109,Y
83,246,Nearside,19.4,2.7,24.3,5.1,959,68,N
84,248,Nearside,5.3,1.1,3.6,1.5,933,109,Y
85,249,Nearside,-3.4,2.5,12.5,3.1,933,109,Y
86,250,Nearside,-3.6,2.8,21.5,5.7,933,109,Y
87,251,Nearside,-46.5,8.3,38.9,9.3,933,109,Y
88,255,Nearside,1.4,1.6,15.0,3.7,933,109,Y
89,257,Nearside,35.0,6.2,19.1,5.5,1063,63,N
90,258,Nearside,-7.1,3.5,15.3,4.0,933,109,Y
91,259,Nearside,3.4,0.6,2.0,0.7,559,97,N
92,260,Nearside,-1.7,2.3,18.0,4.5,933,109,Y
93,267,Nearside,-7.6,5.0,36.7,13.2,933,109,Y
94,271,Nearside,53.8,6.8,35.2,19.2,933,109,Y
95,272,Nearside,-50.0,7.5,53.2,12.2,933,109,Y
96,276,Nearside,-3.7,3.6,-33.9,12.4,933,109,Y
97,279,Nearside,4.4,1.2,-4.7,1.8,933,109,Y
98,280,Nearside,2.4,2.7,46.1,20.2,933,109,Y
99,281,Nearside,-53.2,4.6,-54.4,11.4,933,109,Y
100,282,Farside,15.5,2.4,97.0,12.3,1141,74,N
101,283,Nearside,7.1,1.2,22.5,4.7,984,76,N
102,285,Farside,42.9,3.7,110.9,14.2,933,109,Y
103,286,Nearside,54.2,6.5,56.5,14.0,933,109,Y
104,287,Nearside,24.8,5.7,35.7,13.5,933,109,Y
105,290,Nearside,10.6,1.6,6.4,1.9,933,109,Y
