,Lat,Long,Magnitude,UTC_datetime,Type
0,48.0,35.0,2.8,1971-04-17 07:00:55,Shallow Moonquake
1,42.0,-24.0,2.0,1971-05-20 17:25:10,Shallow Moonquake
2,54.0,101.0,1.9,1972-01-02 22:29:40,Shallow Moonquake
3,12.0,46.0,1.0,1972-09-17 14:35:55,Shallow Moonquake
4,51.0,45.0,1.4,1972-12-06 23:08:20,Shallow Moonquake
5,-20.0,-80.0,1.2,1972-12-09 03:50:15,Shallow Moonquake
6,33.0,35.0,0.8,1973-02-08 22:52:10,Shallow Moonquake
7,-84.0,-134.0,3.2,1973-03-13 07:56:30,Shallow Moonquake
8,-1.0,-71.0,2.2,1973-06-20 20:22:00,Shallow Moonquake
9,-37.0,-29.0,1.1,1973-10-01 03:58:00,Shallow Moonquake
10,36.0,-16.0,0.7,1974-02-23 21:16:50,Shallow Moonquake
11,-48.0,-106.0,1.6,1974-03-27 09:11:00,Shallow Moonquake
12,-37.0,42.0,0.9,1974-04-19 13:35:15,Shallow Moonquake
13,-8.9759,45.4986,0.6,1974-05-29 20:42:15,Shallow Moonquake
14,21.0,88.0,2.7,1974-07-11 00:46:30,Shallow Moonquake
15,29.0,-98.0,3.2,1975-01-03 01:42:00,Shallow Moonquake
16,75.0,40.0,1.7,1975-01-12 03:14:10,Shallow Moonquake
17,-2.0,-51.0,1.1,1975-01-13 00:26:20,Shallow Moonquake
18,-19.0,-26.0,1.4,1975-02-13 22:03:50,Shallow Moonquake
19,-49.0,-45.0,1.3,1975-05-07 06:37:05,Shallow Moonquake
20,3.0,-58.0,1.4,1975-05-27 23:29:00,Shallow Moonquake
21,-8.0,64.0,1.8,1975-11-10 07:52:55,Shallow Moonquake
22,50.0,30.0,1.8,1976-01-04 11:18:55,Shallow Moonquake
23,38.0,44.0,1.1,1976-01-12 08:18:05,Shallow Moonquake
24,50.0,-20.0,2.3,1976-03-06 10:12:40,Shallow Moonquake
25,-19.0,-12.0,1.8,1976-03-08 14:42:10,Shallow Moonquake
26,77.0,-10.0,1.5,1976-05-16 12:32:40,Shallow Moonquake
